Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-07 11:25:00,1918.6,1921.2,1918.4,1920.9,4627,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,11,25,short
2025-10-07 13:00:00,1920.7,1921.1,1918.7,1918.9,3000,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,0,short
2025-10-07 13:05:00,1918.8,1919.9,1918.1,1919.2,1540,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,5,short
2025-10-07 13:10:00,1919.2,1919.7,1917.7,1918.4,1997,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,10,short
2025-10-07 13:15:00,1918.2,1919.0,1917.2,1918.0,1695,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,15,short
2025-10-07 13:20:00,1917.7,1918.5,1916.0,1916.0,3633,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,20,short
2025-10-07 13:25:00,1916.0,1918.5,1915.5,1916.3,4141,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,25,short
2025-10-07 13:30:00,1916.4,1916.9,1915.0,1916.5,3745,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,30,short
2025-10-07 13:35:00,1916.5,1916.5,1911.5,1914.9,8456,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,35,short
2025-10-07 13:40:00,1914.8,1917.0,1913.1,1915.2,5023,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,40,short
2025-10-07 13:45:00,1915.2,1916.7,1914.0,1916.2,3365,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,45,short
2025-10-07 13:50:00,1916.2,1916.3,1914.6,1915.6,1731,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,50,short
2025-10-07 13:55:00,1915.6,1916.2,1912.5,1913.5,5112,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,13,55,both
2025-10-07 14:00:00,1913.5,1915.4,1910.1,1913.1,9027,2025-10-07,1921.2,1908.3,1911.3,1918.6,95798,14,0,both
